replication,success,a_hat,m_hat,b_hat,loglik
40,True,0.39008969316470826,0.3983526683094508,2.2782476523494055,-356.3300736923239
41,True,9.999999999999997e-06,1.7297602615589627,1.7477684662459871,-372.663099218266
42,True,0.027969823803020002,1.6897827108678043,1.7013284899899355,-370.4972456328261
43,True,0.9302067502809755,1.0560674799884087,1.5709234477312077,-376.0156218587773
44,True,1.1421347662745285,1.1607024266652344,1.1620252540277753,-372.7412279779023
45,True,0.35183008896443496,0.3660378302901979,3.227043502450234,-386.7448574428143
46,True,1.0562584189896485,1.1145342999005179,1.1570011186725613,-367.7026555184158
47,True,0.679542407771732,0.7452811669119164,2.3907838967647344,-384.466537748326
48,True,0.2247538758997716,0.2265720834844578,3.3627421156290573,-380.8093066444251
49,True,1.5897157628993304e-05,1.825313856065045,1.869225541646006,-379.95236592235847
50,True,2.413465324103356e-05,1.4833682145943519,1.5117500005128175,-353.9350102106084
51,True,1.1243072017360563e-05,1.8740813072565865,1.9113362753288698,-383.13114640629175
52,True,0.7869626650257929,0.8036326224182291,1.5064671104338068,-358.6862599470585
53,True,0.5887064873502122,0.609303149918625,2.720126404966824,-387.4123237081692
54,True,1.2430456177305635,1.3246572248959674,1.3573695360281812,-388.3236323760914
55,True,9.999999999999997e-06,1.016886066401841,2.646479872238695,-378.2882627161555
56,True,1.045659202828534,1.0961216675574184,1.114429663641127,-364.97904907630584
57,True,0.9684542324195775,1.0151714221717405,1.0572500544578252,-356.4104223776709
58,True,1.094749398513163,1.1520138357114555,1.1644728934159925,-370.62959874392766
59,True,0.8535002237119845,0.8699985361324942,2.1194572969988323,-385.55420108722217
60,True,0.4112509755831693,0.42111751949129145,3.273223228837972,-392.1028620249076
61,True,0.14174322030300499,0.1427183228419628,4.170653870548011,-399.22041391218835
62,True,0.9283503278494597,0.9663348802829603,0.9986070983498982,-350.1906044146521
63,True,1.1466632559734153,1.1762966796421643,1.2144337988992249,-375.56102091330513
64,True,0.25514784969747123,0.2609714952923825,3.6961884100466564,-394.0148407003612
65,True,9.999999999999997e-06,0.9103023679116017,3.2096986678136576,-392.4275468798614
66,True,0.9213403005726614,0.9391939360601299,0.949538090716574,-346.9871273404641
67,True,0.0002686366545210971,1.83857365605769,1.861990375164725,-380.3192176037386
68,True,0.3637689874717797,0.37158046815223744,2.8762207849363195,-375.8700301670074
69,True,1.253349208216603,1.3235120698924332,1.3907357301374954,-389.58829077143025
70,True,0.9816442932217325,1.00540768601246,1.0422757239264815,-355.9535305860569
71,True,0.6034540384353989,0.6139826332512075,2.8878258888543127,-393.11142903068674
72,True,0.7030385210232545,0.7179806948797733,2.2658932813653383,-380.17608652931284
73,True,0.0043298963934610395,1.653055596022184,1.7208759269267015,-368.84189970365173
74,True,0.6499316700782571,0.6859386550992852,1.8038675655516943,-360.2512780757162
75,True,1.1454436602002662,1.1927672273949663,1.2495932737733983,-377.07050478132294
76,True,0.7832260872480613,0.7979834270249045,2.5719917616653873,-395.07738898012786
77,True,0.9335254099113333,1.0317320607275118,1.1063792215376538,-357.67709208622
78,True,1.057884012235326,1.1362586447857141,1.162370321330637,-368.77446655921375
79,True,0.7341259832799483,0.754417735163983,2.290576660540938,-383.2897400387809
80,True,1.0000000049940636e-05,1.4574215773839307,2.1238770141649765,-376.07361684645434
81,True,1.1759443705804045,1.2776576504643058,1.338733430033702,-383.992756312982
82,True,1.2256846528341143,1.274814055895753,1.3144000463947656,-384.7786783833618
83,True,0.6482362018678515,0.6641010949225679,2.708477058966559,-390.7648221626244
84,True,0.3138275185305317,1.6217308059112405,1.6692413144202682,-377.48563625311783
85,True,0.9081487619636548,0.9401060259017986,1.9144962454015577,-383.00205753641205
86,True,1.3253284385190598,1.442035483734113,1.4770834446179388,-398.0992656513632
